Verb,target,Female,Male,Trans Woman,Robot,Fictional,Human,PoC,White,Child,Young Adult,Adult,Heterosexual,NA,Asian,Elderly,Other,Non-binary or Other,Animal,Bi-sexual,Homosexual
Accessing,TRUE,3,14,1,2,2,15,4,12,1,3,14,7,17,0,0,0,0,0,0,0
Acquiring,TRUE,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Acting,TRUE,4,1,0,0,0,5,1,2,0,1,4,2,4,1,0,0,0,0,0,0
Activated,FALSE,1,1,0,1,0,1,0,0,1,0,1,1,2,1,0,0,0,0,0,0
Activating,TRUE,0,2,0,0,0,2,0,0,0,0,2,1,1,2,0,0,0,0,0,0
Addressing,TRUE,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Advised,FALSE,1,2,0,0,0,3,2,0,0,0,3,3,0,1,0,0,0,0,0,0
Advising,TRUE,1,1,0,1,0,2,0,1,0,0,2,1,6,0,0,0,0,0,0,0
Aiming,TRUE,0,3,0,1,0,2,2,1,0,0,3,2,1,0,0,0,0,0,0,0
Alerted,FALSE,0,3,0,0,0,2,0,2,0,0,2,1,2,1,1,1,0,0,0,0
Altered,FALSE,0,2,0,0,0,2,0,2,0,0,1,1,1,0,1,0,0,0,0,0
Altering,TRUE,1,3,0,0,0,4,1,3,0,0,4,2,2,0,0,0,0,0,0,0
Amazed,FALSE,1,0,0,0,0,2,0,2,0,0,1,1,3,0,0,0,0,0,0,0
Ambushing,TRUE,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Analysed,FALSE,19,14,1,1,5,33,7,12,0,9,29,8,63,4,0,0,1,3,1,0
Analysing,TRUE,15,12,0,22,0,17,6,12,1,1,24,9,72,2,1,0,0,0,1,0
Announcing,TRUE,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Annoyed,FALSE,1,2,0,1,0,2,1,1,0,0,1,2,3,0,1,0,0,0,0,0
Annoying,TRUE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Anonymised,FALSE,1,1,0,0,0,2,1,1,0,0,2,0,2,0,0,0,0,0,0,0
Answering,TRUE,2,0,0,0,0,2,0,1,0,0,2,2,1,0,0,0,0,0,0,0
Anticipating,TRUE,0,2,0,0,0,2,0,2,0,0,2,1,1,0,0,0,0,0,0,0
Appearing,TRUE,4,3,0,3,1,3,0,5,0,0,7,0,13,0,1,0,0,0,0,0
Appreciating,TRUE,2,0,0,0,0,2,2,0,0,0,2,1,1,0,0,0,0,0,0,0
Approved,FALSE,0,2,0,0,1,2,1,1,0,0,3,1,4,0,0,0,0,0,0,0
Approving,TRUE,2,0,0,0,0,2,1,0,0,0,1,0,4,0,0,0,0,0,0,0
Arguing,TRUE,4,2,0,1,1,5,0,6,1,0,6,4,4,0,0,0,1,0,0,0
Aroused,FALSE,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Arrested,FALSE,3,1,0,0,0,4,2,2,0,2,2,3,1,0,0,0,0,0,0,0
Asked,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Asking,TRUE,3,1,0,2,0,2,0,2,1,0,2,1,6,0,0,0,0,0,0,0
Assesed,FALSE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Assessing,TRUE,3,13,0,2,1,14,3,8,0,0,14,7,18,1,1,0,0,0,0,0
Assisted,FALSE,3,3,0,0,0,6,2,3,0,0,6,0,6,1,0,0,0,0,0,0
Assisting,TRUE,3,1,0,1,0,3,0,2,0,0,4,0,6,0,0,0,0,0,0,0
Attacked,FALSE,5,6,0,1,2,9,3,8,2,1,9,5,12,0,0,0,1,1,0,0
Attacking,TRUE,7,8,0,2,6,9,3,5,0,2,11,3,27,0,1,0,0,0,0,1
Attempting,TRUE,1,1,0,0,0,2,0,1,0,0,2,0,2,1,0,0,0,0,0,0
Authorizing,TRUE,1,1,0,1,0,1,1,0,0,0,2,0,3,0,0,0,0,0,0,0
Avoided,FALSE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Avoiding,TRUE,1,7,0,1,0,7,1,5,0,1,7,3,6,0,0,1,0,0,0,0
Aware,FALSE,5,9,0,1,0,14,3,11,0,1,14,2,13,0,0,0,1,0,1,0
Becoming,TRUE,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Befriending,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
Begging,TRUE,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
Benefitting,TRUE,1,1,0,0,1,2,0,1,0,0,3,0,6,0,0,0,0,0,0,0
Betraying,TRUE,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Blamed,FALSE,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
Blaming,TRUE,1,1,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0
Blasted,FALSE,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0
Blinded,FALSE,3,1,0,1,0,4,2,2,0,1,4,1,6,0,0,0,0,0,0,0
Blinding,TRUE,1,1,0,0,0,2,0,0,0,0,2,0,3,1,0,0,0,0,0,0
Blocked,FALSE,1,1,0,0,0,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0
Blocking,TRUE,1,0,0,0,0,1,0,1,0,0,1,1,4,0,0,0,0,1,0,0
Blurred,FALSE,1,1,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0
Bombed,FALSE,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Bombing,TRUE,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Bonding,TRUE,1,1,0,0,0,2,0,1,0,1,0,0,4,0,0,0,0,0,0,0
Bored,FALSE,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Bragging,TRUE,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Breaking,TRUE,1,1,0,0,0,3,1,1,0,1,2,1,3,0,0,0,1,0,0,0
