Verb,pct_female,pct.male,pct.trans,pct.human,pct.robot,pct.animal,pct.fictional,pct.asian,pct.white,pct.black,pct.PoC.other,pct.heterosexual,pct.homosexual,pct.sexuality.other,pct.child,pct.young.adult,pct.adult,pct.elderly
Accessing,0.03896103896103896,0.18181818181818182,0.012987012987012988,0.18181818181818182,0.025974025974025976,0,0.025974025974025976,0,0.15584415584415584,0.012987012987012988,0.03896103896103896,0.09090909090909091,0,0,0.012987012987012988,0.03896103896103896,0.18181818181818182,0
Acquiring,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
Acting,0.19047619047619047,0.047619047619047616,0,0.23809523809523808,0,0,0,0.047619047619047616,0.09523809523809523,0,0.047619047619047616,0.09523809523809523,0,0,0,0.047619047619047616,0.19047619047619047,0
Activated,0.125,0.125,0,0.125,0.125,0,0,0.125,0,0,0,0.125,0,0,0.125,0,0.125,0
Activating,0,0.2222222222222222,0,0.2222222222222222,0,0,0,0.2222222222222222,0,0,0,0.1111111111111111,0,0,0,0,0.2222222222222222,0
Addressing,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0
Advised,0.06666666666666667,0.13333333333333333,0,0.2,0,0,0,0.06666666666666667,0,0.06666666666666667,0.06666666666666667,0.2,0,0,0,0,0.2,0
Advising,0.1111111111111111,0.1111111111111111,0,0.2222222222222222,0.1111111111111111,0,0,0,0.1111111111111111,0,0,0.1111111111111111,0,0,0,0,0.2222222222222222,0
Aiming,0,0.21428571428571427,0,0.14285714285714285,0.07142857142857142,0,0,0,0.07142857142857142,0.14285714285714285,0,0.14285714285714285,0,0,0,0,0.21428571428571427,0
Alerted,0,0.23076923076923078,0,0.15384615384615385,0,0,0,0.07692307692307693,0.15384615384615385,0,0,0.07692307692307693,0,0.07692307692307693,0,0,0.15384615384615385,0.07692307692307693
Altered,0,0.2222222222222222,0,0.2222222222222222,0,0,0,0,0.2222222222222222,0,0,0.1111111111111111,0,0,0,0,0.1111111111111111,0.1111111111111111
Altering,0.05555555555555555,0.16666666666666666,0,0.2222222222222222,0,0,0,0,0.16666666666666666,0.05555555555555555,0,0.1111111111111111,0,0,0,0,0.2222222222222222,0
Amazed,0.14285714285714285,0,0,0.2857142857142857,0,0,0,0,0.2857142857142857,0,0,0.14285714285714285,0,0,0,0,0.14285714285714285,0
Ambushing,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
Analysed,0.1292517006802721,0.09523809523809523,0.006802721088435374,0.22448979591836735,0.006802721088435374,0.02040816326530612,0.034013605442176874,0.027210884353741496,0.08163265306122448,0.013605442176870748,0.034013605442176874,0.05442176870748299,0,0.006802721088435374,0,0.061224489795918366,0.19727891156462585,0
Analysing,0.125,0.1,0,0.13333333333333333,0.175,0,0,0.016666666666666666,0.1,0.05,0,0.075,0,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.19166666666666668,0.008333333333333333
Announcing,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0.25
Annoyed,0.08333333333333333,0.16666666666666666,0,0.16666666666666666,0.08333333333333333,0,0,0,0.08333333333333333,0,0.08333333333333333,0.16666666666666666,0,0,0,0,0.08333333333333333,0.08333333333333333
Annoying,0,0.2,0,0.2,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0.2,0
Anonymised,0.125,0.125,0,0.25,0,0,0,0,0.125,0,0.125,0,0,0,0,0,0.25,0
Answering,0.2222222222222222,0,0,0.2222222222222222,0,0,0,0,0.1111111111111111,0,0,0.2222222222222222,0,0,0,0,0.2222222222222222,0
Anticipating,0,0.2222222222222222,0,0.2222222222222222,0,0,0,0,0.2222222222222222,0,0,0.1111111111111111,0,0,0,0,0.2222222222222222,0
Appearing,0.14814814814814814,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0.037037037037037035,0,0.18518518518518517,0,0,0,0,0,0,0,0.25925925925925924,0.037037037037037035
Appreciating,0.2222222222222222,0,0,0.2222222222222222,0,0,0,0,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0,0,0,0.2222222222222222,0
Approved,0,0.18181818181818182,0,0.18181818181818182,0,0,0.09090909090909091,0,0.09090909090909091,0,0.09090909090909091,0.09090909090909091,0,0,0,0,0.2727272727272727,0
Approving,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0.16666666666666666,0
Arguing,0.12903225806451613,0.06451612903225806,0,0.16129032258064516,0.03225806451612903,0,0.03225806451612903,0,0.1935483870967742,0,0,0.12903225806451613,0,0,0.03225806451612903,0,0.1935483870967742,0
Aroused,0,0.25,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0
Arrested,0.15789473684210525,0.05263157894736842,0,0.21052631578947367,0,0,0,0,0.10526315789473684,0,0.10526315789473684,0.15789473684210525,0,0,0,0.10526315789473684,0.10526315789473684,0
Asked,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Asking,0.21428571428571427,0.07142857142857142,0,0.14285714285714285,0.14285714285714285,0,0,0,0.14285714285714285,0,0,0.07142857142857142,0,0,0.07142857142857142,0,0.14285714285714285,0
Assesed,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
Assessing,0.04477611940298507,0.19402985074626866,0,0.208955223880597,0.029850746268656716,0,0.014925373134328358,0.014925373134328358,0.11940298507462686,0.029850746268656716,0.014925373134328358,0.1044776119402985,0,0,0,0,0.208955223880597,0.014925373134328358
Assisted,0.125,0.125,0,0.25,0,0,0,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0,0,0,0,0,0.25,0
Assisting,0.21428571428571427,0.07142857142857142,0,0.21428571428571427,0.07142857142857142,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,0.2857142857142857,0
Attacked,0.09433962264150944,0.11320754716981132,0,0.16981132075471697,0.018867924528301886,0.018867924528301886,0.03773584905660377,0,0.1509433962264151,0,0.05660377358490566,0.09433962264150944,0,0,0.03773584905660377,0.018867924528301886,0.16981132075471697,0
Attacking,0.1206896551724138,0.13793103448275862,0,0.15517241379310345,0.034482758620689655,0,0.10344827586206896,0,0.08620689655172414,0.017241379310344827,0.034482758620689655,0.05172413793103448,0.017241379310344827,0,0,0.034482758620689655,0.1896551724137931,0.017241379310344827
Attempting,0.125,0.125,0,0.25,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0.25,0
Authorizing,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0.2857142857142857,0
Avoided,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
