Verb,target,SituationID,Government,Narrative,Art,User,Humans in general,Corporation,Game,Object,Image,Creator,Law enforcement,Environment,Military
Abusing,TRUE,2709,1,1,0,0,0,0,0,0,0,0,0,0,0
Accessing,TRUE,1652,0,0,1,1,0,0,0,0,0,0,0,0,0
Accessing,TRUE,2383,0,1,0,0,1,0,0,0,0,0,0,0,0
Accessing,TRUE,2806,0,0,0,0,1,1,2,0,0,0,0,0,0
Accessing,TRUE,3062,0,0,0,1,0,0,1,0,0,0,0,0,0
Accumulating,TRUE,1636,0,0,1,0,0,1,0,0,0,0,0,0,0
Acquired,FALSE,1858,0,1,0,0,0,0,0,1,0,0,0,0,0
Acquired,FALSE,1903,0,0,1,0,0,0,0,0,1,0,0,0,0
Acquiring,TRUE,1636,0,0,1,0,0,1,0,0,0,0,0,0,0
Activated,FALSE,2069,0,0,1,0,0,0,0,0,1,0,0,0,0
Activating,TRUE,1146,0,0,0,1,0,0,1,0,0,0,0,0,0
Adapting,TRUE,3195,0,0,1,0,0,0,0,0,0,1,0,0,0
Addressed,FALSE,401,0,0,0,1,0,0,1,0,0,0,0,0,0
Adjusting,TRUE,986,0,0,1,0,0,0,0,0,0,1,0,0,0
Adjusting,TRUE,1593,0,0,1,1,0,0,0,0,0,0,0,0,0
Adjusting,TRUE,2248,0,0,1,1,0,0,0,0,0,0,0,0,0
Alerted,FALSE,581,1,0,0,0,0,0,1,0,0,0,0,0,0
Alerted,FALSE,1120,0,0,0,0,0,1,1,0,0,0,0,0,0
Alerted,FALSE,2738,0,0,1,1,0,0,0,0,0,0,0,0,0
Alerted,FALSE,2877,0,0,0,0,0,0,1,0,0,0,1,0,0
Alerting,TRUE,2738,0,0,1,0,0,0,0,1,0,0,0,0,0
Alienated,FALSE,383,0,0,1,1,0,0,0,0,0,0,0,0,0
Alienated,FALSE,1578,0,0,1,0,1,0,0,0,0,0,0,0,0
Alienating,TRUE,1578,0,0,1,0,0,0,0,0,1,0,0,0,0
Altered,FALSE,301,0,1,0,0,0,0,0,0,1,0,0,0,0
Altered,FALSE,824,0,0,1,0,0,0,0,0,0,0,0,1,0
Altered,FALSE,939,0,0,1,0,0,0,0,0,0,0,0,1,0
Altered,FALSE,986,0,0,1,0,0,0,0,0,1,0,0,0,0
Altering,TRUE,509,0,1,0,1,0,0,0,0,0,0,0,0,0
Amazed,FALSE,3268,0,1,0,0,1,0,0,0,0,0,0,0,0
Analysed,FALSE,307,0,1,0,0,1,0,0,0,0,0,0,0,0
Analysed,FALSE,441,0,0,1,0,1,0,0,0,0,0,0,0,0
Analysed,FALSE,716,0,0,1,0,0,1,0,0,0,0,0,0,0
Analysed,FALSE,746,0,0,0,0,1,0,1,0,0,0,0,0,0
Analysed,FALSE,1072,0,0,1,1,0,0,0,0,0,0,0,0,0
Analysed,FALSE,1157,0,0,1,1,0,0,0,0,0,0,0,0,0
Analysed,FALSE,1215,0,0,1,1,0,0,0,0,0,0,0,0,0
Analysed,FALSE,1217,0,0,1,0,0,0,0,0,1,0,0,0,0
Analysed,FALSE,1967,0,0,1,0,0,0,0,0,1,0,0,0,0
Analysed,FALSE,1974,0,0,1,0,0,0,0,0,1,0,0,0,0
Analysed,FALSE,2246,0,0,1,0,1,0,0,0,0,0,0,0,0
Analysed,FALSE,2251,0,0,1,0,0,0,0,0,1,0,0,0,0
Analysed,FALSE,2402,0,1,0,0,0,0,0,1,0,0,0,0,0
Analysed,FALSE,2465,0,1,0,0,0,0,0,0,0,0,0,1,0
Analysed,FALSE,2523,0,1,0,0,1,0,0,0,0,0,0,0,0
Analysed,FALSE,2537,0,0,1,0,0,0,0,0,1,0,0,0,0
Analysed,FALSE,2567,0,0,1,1,0,0,0,0,0,0,0,0,0
Analysed,FALSE,2593,0,1,0,0,1,0,0,0,0,0,0,0,0
Analysed,FALSE,2832,0,0,1,0,0,0,0,0,0,1,0,0,0
Analysed,FALSE,2936,0,0,1,1,0,0,0,0,0,0,0,0,0
Analysed,FALSE,2938,0,0,1,0,0,0,0,0,1,0,0,0,0
Analysed,FALSE,3044,0,0,1,0,1,0,0,0,0,0,0,0,0
Analysed,FALSE,3080,0,0,1,0,1,0,0,0,0,0,0,0,0
Analysed,FALSE,3244,0,0,0,0,1,0,1,0,0,0,0,0,0
Analysing,TRUE,328,0,0,0,1,0,0,1,0,0,0,0,0,0
Analysing,TRUE,716,0,0,1,0,0,0,0,0,0,1,0,0,0
Analysing,TRUE,2204,0,1,0,0,0,1,0,0,0,0,0,0,0
Anonymised,FALSE,573,0,0,1,1,0,0,0,0,0,0,0,0,0
Anonymised,FALSE,1052,0,0,1,1,0,0,0,0,0,0,0,0,0
Anonymised,FALSE,1903,0,0,1,0,0,0,0,0,1,0,0,0,0
Anthropomorphising,TRUE,1917,0,0,1,0,0,0,0,0,1,0,0,0,0
Appearing,TRUE,441,0,0,1,0,1,0,0,0,0,0,0,0,0
Appearing,TRUE,2286,0,1,0,0,0,0,0,0,0,0,0,1,0
Approaching,TRUE,2565,0,0,1,1,0,0,0,0,0,0,0,0,0
Approaching,TRUE,2936,0,0,1,1,0,0,0,0,0,0,0,0,0
Appropriating,TRUE,429,0,0,1,0,0,0,0,0,0,1,0,0,0
Appropriating,TRUE,526,0,0,1,0,0,0,0,0,0,1,0,0,0
Appropriating,TRUE,2244,0,0,1,0,0,0,0,0,0,1,0,0,0
Appropriating,TRUE,3162,0,0,1,0,0,0,0,0,0,1,0,0,0
Archiving,TRUE,3044,0,0,1,1,0,0,0,0,0,0,0,0,0
Aroused,FALSE,1774,0,1,0,0,1,0,0,0,0,0,0,0,0
Arresting,TRUE,3005,0,0,0,0,0,0,1,0,0,0,1,0,0
Arriving,TRUE,1639,0,1,0,0,0,0,0,0,0,0,1,0,0
Asked,FALSE,2989,0,0,1,0,1,0,0,0,0,0,0,0,0
Asking,TRUE,539,0,1,0,0,0,1,0,0,0,0,0,0,0
Assembling,TRUE,531,0,0,1,0,0,0,0,0,0,1,0,0,0
Assembling,TRUE,1595,0,0,1,0,0,0,0,0,0,1,0,0,0
Assembling,TRUE,2242,0,0,1,1,0,0,0,0,0,0,0,0,0
Assembling,TRUE,2243,0,0,1,0,0,0,0,0,0,1,0,0,0
Assesed,FALSE,398,0,0,0,0,1,0,1,0,0,0,0,0,0
Assesed,FALSE,707,0,0,0,1,0,0,1,0,0,0,0,0,0
