WorkID,FINAL_Wikidata_ID
6,NA
8,NA
10,Q25167044
15,Q74116403
19,NA
20,NA
25,NA
26,NA
29,NA
31,NA
40,NA
42,Q7386146
44,Q27940629
45,Q54915210
47,Q27773357
51,Q24877461
53,Q1323428
55,Q91960126
57,NA
61,NA
63,NA
65,NA
67,NA
69,NA
71,NA
73,NA
75,NA
80,Q20982361
82,Q287448
86,NA
90,NA
92,NA
94,NA
96,NA
104,Q1050838
106,NA
108,Q14595113
110,NA
112,NA
116,NA
118,NA
121,NA
123,NA
125,NA
127,NA
129,Q21078985
131,Q65229170
133,NA
135,Q20155528
137,Q17618314
141,Q244604
144,Q43183511
146,NA
153,Q69527499
156,NA
157,Q101097242
159,NA
164,Q12007794
165,NA
167,NA
176,NA
179,NA
180,Q21246348
184,NA
187,NA
193,NA
203,NA
206,NA
208,NA
210,NA
212,NA
213,NA
216,NA
217,NA
218,NA
220,NA
222,NA
224,NA
226,NA
228,Q14838050
229,Q20155365
231,Q7647036
233,NA
235,Q12579896
237,Q1989435
239,NA
249,Q17001721
254,Q128286
282,Q1519981
286,Q72909
290,Q25627545
316,Q47538617
332,Q27949628
341,NA
345,NA
349,Q5692707
353,NA
360,NA
368,NA
371,NA
373,NA
389,Q4918623
393,Q52213432
405,Q1977621
413,Q60776367
417,Q23058779
423,NA
432,Q64031447
454,Q192724
463,Q27985819
473,NA
495,Q332368
504,Q783148
510,NA
553,Q558112
574,NA
578,NA
585,NA
589,Q11885031
592,NA
595,NA
597,NA
600,NA
608,Q66438471
609,NA
611,Q55388754
613,NA
615,NA
619,Q2351397
628,NA
630,Q73622
655,NA
666,Q27958509
669,NA
675,Q21010849
682,Q66498550
687,Q11787820
700,NA
704,NA
729,Q170564
737,Q7768498
745,NA
747,Q61727129
752,Q24666782
755,Q1567191
757,Q62604270
768,Q54825652
810,Q28406285
821,NA
823,NA
831,Q27957904
839,Q25205882
860,Q47500700
861,NA
867,Q705343
873,Q56274437
875,NA
881,Q25340021
884,Q18393935
887,Q2525333
888,NA
893,NA
894,NA
896,NA
900,NA
902,NA
904,NA
907,NA
908,NA
910,NA
912,NA
916,Q63315199
927,Q15659308
931,Q832431
936,NA
940,NA
943,NA
971,Q6856084
976,Q5099787
980,Q20860351
992,NA
995,NA
1001,Q16747517
1007,Q34316
1017,Q728061
1022,NA
1024,Q107340428
1027,NA
1031,NA
1033,Q274897
1035,Q56299003
1037,Q106335936
1039,Q276217
1041,Q853344
1043,Q21039915
1044,Q642107
1050,NA
1053,NA
1059,NA
1064,NA
1073,NA
1079,NA
1082,NA
1085,NA
1090,Q86665990
1094,NA
1110,Q674586
1119,Q20155152
1124,Q61740435
1143,NA
1147,Q106159719
1154,NA
1162,Q51543
1167,NA
1171,Q84165734
1175,Q1940592
1178,Q20113552
1181,NA
1185,NA
1189,NA
1196,Q104412945
1214,NA
1218,NA
1223,NA
1227,NA
1239,Q55602944
1426,Q662029
1438,NA
1450,NA
1454,Q15710729
1456,Q29832341
1458,Q15891648
1459,Q17452
1461,Q76255
1481,Q63171261
1483,NA
1484,Q65037315
1485,NA
1487,Q65227528
1494,NA
1495,NA
1496,NA
1498,NA
1500,NA
1502,NA
1505,NA
1508,NA
1511,NA
1513,NA
1516,NA
1526,Q6545406
1535,NA
1538,NA
1539,NA
1540,NA
1542,NA
1543,NA
1545,NA
1556,NA
1557,NA
1559,NA
1562,NA
1568,NA
1572,NA
1573,NA
1576,NA
1577,Q6052688
1582,NA
1584,NA
1597,Q918194
1600,NA
1603,NA
1608,Q17183996
1612,Q95996827
1613,NA
1615,NA
1621,NA
1626,NA
1638,NA
1642,Q43625060
1649,NA
1656,NA
1658,NA
1662,NA
1666,NA
1668,NA
1669,NA
1671,NA
1674,NA
1675,NA
1682,NA
1700,NA
1702,NA
1704,NA
1706,NA
1709,NA
1722,Q23780734
1734,Q84156278
1740,Q97275045
1747,Q13417244
1749,Q48855569
1767,NA
1769,NA
1775,Q16420972
1782,NA
1784,NA
1786,NA
1788,NA
1791,NA
1804,Q25431158
1814,Q20001199
1816,Q52145597
1817,Q60747802
1818,Q27903119
1819,Q18615119
1830,Q12125299
1839,NA
1840,Q65043785
1846,Q13091172
1850,Q1187607
1852,Q19590955
1854,NA
1856,NA
1859,Q29168557
1873,NA
1877,NA
1881,Q20382729
1892,Q24832112
1902,NA
1904,Q21500755
1918,Q24053263
1931,NA
1940,Q79997506
1946,Q1765358
1950,Q82566838
1953,Q83495
1970,Q29588607
1975,Q42577704
1982,NA
2031,NA
2032,NA
2035,NA
2036,NA
2037,NA
2042,NA
2044,NA
2045,NA
2046,NA
2047,NA
2052,Q18547944
2062,Q4985891
2068,Q54488341
2071,Q204190
2077,Q23780914
2083,Q56215021
2095,Q27903816
2101,Q23781155
2116,NA
2120,NA
2122,NA
2124,NA
2126,NA
2144,NA
2148,Q6074
2198,Q64534648
2208,NA
2215,Q638544
2222,Q20962283
2232,NA
2238,NA
2241,Q58476599
2250,NA
2277,Q103474
2297,Q225964
2299,Q810987
2300,Q22575835
2307,Q2579784
2327,Q192686
2339,Q182218
2344,Q60440861
2356,Q22665878
2362,Q21095433
2372,Q24939591
2382,Q30592092
2397,Q77895617
2412,Q7732812
2427,Q56195117
2433,Q65239333
2449,NA
2469,Q3182559
2476,Q56876444
2477,NA
2519,Q99191029
2525,Q65016942
2532,Q28065409
2544,Q64004122
2546,Q570651
2576,Q71767482
2587,Q55696425
2599,Q300547
2607,NA
2613,Q16267696
2628,Q21040991
2635,NA
2642,NA
2655,NA
2663,NA
2665,NA
2672,NA
2677,NA
2684,NA
2689,Q15088216
2693,Q20925597
2696,Q20521107
2701,Q25136813
2707,Q108101049
2714,Q58227961
2719,NA
2722,Q104241071
2740,NA
2810,Q110716508
2812,NA
2820,NA
2828,NA
