CreatorID,Creator_Wikidata_ID,Creator
3,Q6375726,Kate Pullinger
7,Q5109933,Christian Moeller
9,NA,Disney
11,NA,Barbara Davidson
14,NA,Fictiorama Studios
16,NA,Walter Pichler
17,Q96417562,Adam Harvey
18,NA,Anonymous
22,Q18342403,Liam Young
23,Q188273,Ubisoft
27,NA,John Cale
28,Q28132547,Zach Blas
32,Q7839361,Trevor Paglen
38,Q18023286,Les Levine
41,Q98411159,Camouflaj
43,Q32860574,Osmotic Studios
46,NA,Warm Lamp Games
48,NA,Niantic
50,Q17561297,Fullbright
52,Q4037348,Digital Pictures
54,Q19680180,Nicky Case
56,Q5239175,David Rokeby
60,Q96684990,Jeremy Bailey
62,NA,Clement Valla
64,NA,Bernhard Hopfengärnter
66,NA,Superflux
68,NA,Bjørn Erik Haugen
70,NA,Robbie Barrat
72,Q18920314,Steina Vasulka
74,Q322060,Douglas Coupland
78,Q23867507,Ilya Naishuller
81,NA,Edward Morgan Forster
83,Q31359093,Joy Buolamwini
87,Q21008480,Daito Manabe
88,NA,Kamitani Lab
91,NA,Playgen Ltd
93,Q151720,Ken Liu
95,Q277763,A-1 Pictures
97,NA,Ernest Cline
99,Q8877,Steven Spielberg
103,Q55422,David Cronenberg
105,Q558332,Michael Snow
107,Q727938,Jake Paltrow
109,Q28871477,Sougwen Chung
111,Q4756330,Andrew Benson
115,Q94415599,Anna Ridler
117,NA,Bureau of Inverse Technology (BIT)
119,NA,Kyle Mcdonald
120,Q58303084,Lauren McCarthy
124,Q666468,Lavie Tidhar
126,NA,iia
128,NA,PlatinumGames
130,Q90405658,Rival Games
132,Q238438,Nancy Kress
134,Q337910,Guerrilla Games
136,Q19827680,Scott Cawthon
138,NA,BBC
142,NA,Satô Ikurô
143,NA,Shin'ichirô Watanabe
145,NA,Veronique Ducharme
148,Q4767817,Annalee Newitz
150,NA,Sara Ludy
155,Q28935792,Faith Holland
158,NA,IOCOSE
160,NA,Kevin Fanning
161,Q1162833,Daniel Suarez
163,Q467497,Arne Garborg
166,NA,Nadav Assor
170,Q312853,Neal Stephenson
172,Q110436,Cory Doctorow
175,NA,Georgie Pinn
177,NA,Waltz Binaire
178,Q570081,Quantic Dream
181,NA,Prokop Bartoníček
182,Q83808309,Benjamin Maus
188,Q61483354,Mushon Zer-Aviv
189,NA,Stavy Dan
190,Q2545055,Molleindustria
191,NA,Eran Weissenstern
194,NA,Euros Lyn
196,Q2960837,Charlie Brooker
199,NA,Helena Nikonole
201,Q3335,George Orwell
205,NA,Coburn Tyler
207,NA,!Mediengruppe Bitnik
209,Q1892688,Marc Lee
211,Q20683898,James Bridle
214,NA,Vavarella Emilio
215,NA,Joanna Moll
219,NA,Dracola112
221,NA,the-third-person
223,NA,manen_lyset
225,NA,airshrimp777
227,NA,Red Barrels
230,NA,Sony Computer Entertainment Japan
232,NA,Zuzana Husárová
234,Q220317,Maxis
236,NA,Philips POV Entertainment
238,Q55767529,Mario Klingemann
248,Q16204354,Ann Leckie
264,Q540787,Warren Ellis
279,NA,Pisanthanakun Banjong
283,Q95008,John Carpenter
287,NA,Gary Ross
313,NA,Myron Dewey
314,NA,Josh Fox
324,Q21066751,Victoria Aveyard
331,Q21808729,Alan Walker
338,Q888152,Bob Mould
342,NA,The Get Out Clause
346,Q215215,John Mayer
350,NA,group inou
354,NA,Sour
357,Q242873,Ingrid Michaelson
365,Q110752448,Mood Killer
369,NA,Gojira
372,NA,Magali Barbe
386,Q164782,Ashton Kutcher
387,NA,Tyra Banks
392,Q234356,Janelle Monáe
396,NA,Russel T Davies
402,Q23261,Hideaki Anno
410,NA,Harris Blondman
415,Q167683,John Hamburg
420,NA,Thebe Neruda Kgositsile
431,Q190379,Ian McEwan
452,NA,Marvel
460,Q18519749,Jon Watts
467,Q295964,Jon Favreau
468,NA,Red Hot Chili Peppers
471,NA,Casino
491,Q545216,John Glen
496,NA,Don Broco
499,Q6060,50 Cent
506,NA,Chris Hales
511,Q108882642,Samantha Gorman
532,Q2159917,Robin Wasserman
569,NA,Ctrl Shift Face
572,NA,Scott Urban
575,NA,Marie Darrieussecq
576,Q19667905,Katja Novitskova
583,NA,Anna Mill
584,NA,Luke Jones
586,NA,Dave Eggers
588,Q228624,Suzanne Collins
590,Q23417143,Addie Wagenknecht
593,NA,Jakob Kudsk Steensen
596,NA,Etsuko Ichihara
599,Q23907082,Joaquin Fargas
605,Q19310220,Anne Bjørnstad
606,NA,Eilif Skodvin
610,NA,Alexandr Kessel
612,Q7290627,Rana Dasgupta
614,Q8941041,Chen Qiufan
618,NA,Dontnod Entertainment
623,NA,Mark Sample
624,Q4502677,Ron Hughart
631,NA,Jim Reardon
637,NA,Mark Kirkland
640,Q3120735,Wes Archer
652,NA,Tim Maughan
662,Q3176718,Jeffrey Nachmanoff
668,NA,Zaster
672,Q1680997,James Ponsoldt
680,Q43994,Matt Groening
683,Q7172726,Peter Baynham
695,Q1206920,Devin the Dude
701,NA,Guided by Voices
728,Q42574,James Cameron
728,NA,James Cameron
749,Q2531521,Kojima Productions
753,NA,Activision
756,NA,No Code
765,Q26702453,Greg Tiernan
806,Q55767418,Olan Rogers
818,NA,RIchard Mosse
830,Q360737,Andrew Niccol
838,NA,David E. Kelly
843,Q16736403,Sturgill Simpson
845,NA,Adam Kwapiński
854,NA,Stewart Sugg
866,Q3351886,Omar Naim
868,Q5531483,Gene Stupnitsky
879,NA,PABL
889,Q16663547,Martin Le Chevallier
890,Q389526,Bloober Team
891,NA,Next Games
892,Q67547,Harun Farocki
895,NA,Jogi Hofmüller
897,NA,Asia Bazdyrieva
898,NA,Orlov Alexey
899,Q105821263,Solveig Suess
901,NA,Tivon Rice
903,Q16298648,Jukka Hautamäki
905,NA,Dejan Marković
906,Q98762172,Max Dovey
909,Q104869991,Alice & Smith
911,NA,Maria Takeuchi
915,NA,Clifftop Games
929,Q7925905,Victor Fresco
933,Q44190,Radiohead
937,NA,Giles Price
941,Q93317679,Sam Lavigne
969,Q664673,Lauren Beukes
973,Q299933,Maureen F. McHugh
979,NA,Technocrat Games
989,NA,Amir Bastan
990,NA,Johannes Braumann
993,NA,Doug Rosman
996,Q503095,Ted Chiang
1015,Q229459,3D Realms
1023,NA,Said Polat
1025,NA,Fran Krause
1029,NA,Jonas Ersland
1032,NA,Valve
1034,Q1157042,Daedalic Entertainment
1036,Q29578855,Logic Artists
1038,NA,Bungie Studios
1040,Q94893,Rockstar North
1042,Q3022081,Unknown Worlds Entertainment
1045,NA,Eidos Montréal
1046,NA,Huyn Parke
1047,NA,Jinoon Choi
1048,NA,Sookyun Yang
1051,NA,Timm Burckhardt
1054,NA,Jin Ni
1055,NA,Huang Mingyuan
1056,NA,Zhengren Chen
1057,NA,Zhengyang Zhou
1061,NA,Yonlay Cabrera
1069,Q17183811,Iris Long
1070,NA,Hanbin Deng
1071,NA,Wu Tiancheng
1074,Q22958352,Memo Akten
1077,NA,hdoto
1080,NA,Nye Thompson
1083,Q102478968,Daniel Goldhaber
1087,Q374850,Damian Kindler
1092,NA,Freeda Beast
1100,Q188987,William Gibson
1108,Q1250139,Robert Longo
1117,Q207784,Square Enix
1123,Q19561563,Tim Miller
1126,NA,Stephen Moffat
1140,Q51281415,AFK
1145,NA,Tender Claws
1158,Q182950,Studio Ghibli
1165,Q55193,Dziga Vertov
1170,NA,Ministry of Broadcast Studio
1174,Q15232085,Lexis Numérique
