Verb,target,Government,Narrative,Art,Corporation,Game,Humans in general,User,Image,Object,Creator,Law enforcement,Environment,Military
Abusing,TRUE,1,1,0,0,0,0,0,0,0,0,0,0,0
Accessing,TRUE,0,1,1,1,3,2,2,0,0,0,0,0,0
Accumulating,TRUE,0,0,1,1,0,0,0,0,0,0,0,0,0
Acquired,FALSE,0,1,1,0,0,0,0,1,1,0,0,0,0
Acquiring,TRUE,0,0,1,1,0,0,0,0,0,0,0,0,0
Activated,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0
Activating,TRUE,0,0,0,0,1,0,1,0,0,0,0,0,0
Adapting,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Addressed,FALSE,0,0,0,0,1,0,1,0,0,0,0,0,0
Adjusting,TRUE,0,0,3,0,0,0,2,0,0,1,0,0,0
Alerted,FALSE,1,0,1,1,3,0,1,0,0,0,1,0,0
Alerting,TRUE,0,0,1,0,0,0,0,0,1,0,0,0,0
Alienated,FALSE,0,0,2,0,0,1,1,0,0,0,0,0,0
Alienating,TRUE,0,0,1,0,0,0,0,1,0,0,0,0,0
Altered,FALSE,0,1,3,0,0,0,0,2,0,0,0,2,0
Altering,TRUE,0,1,0,0,0,0,1,0,0,0,0,0,0
Amazed,FALSE,0,1,0,0,0,1,0,0,0,0,0,0,0
Analysed,FALSE,0,5,17,1,2,9,5,6,1,1,0,1,0
Analysing,TRUE,0,1,1,1,1,0,1,0,0,1,0,0,0
Anonymised,FALSE,0,0,3,0,0,0,2,1,0,0,0,0,0
Anthropomorphising,TRUE,0,0,1,0,0,0,0,1,0,0,0,0,0
Appearing,TRUE,0,1,1,0,0,1,0,0,0,0,0,1,0
Approaching,TRUE,0,0,2,0,0,0,2,0,0,0,0,0,0
Appropriating,TRUE,0,0,4,0,0,0,0,0,0,4,0,0,0
Archiving,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Aroused,FALSE,0,1,0,0,0,1,0,0,0,0,0,0,0
Arresting,TRUE,0,0,0,0,1,0,0,0,0,0,1,0,0
Arriving,TRUE,0,1,0,0,0,0,0,0,0,0,1,0,0
Asked,FALSE,0,0,1,0,0,1,0,0,0,0,0,0,0
Asking,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0
Assembling,TRUE,0,0,4,0,0,0,1,0,0,3,0,0,0
Assesed,FALSE,0,0,0,0,2,1,1,0,0,0,0,0,0
Assessing,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,1
Assisting,TRUE,0,0,1,0,0,0,0,0,1,0,0,0,0
