Verb,Char,Ent,Tech,VerbType
3D modeling,0,0,6,Active
Abusing,0,1,0,Active
Accepting,0,0,2,Active
Accessed,0,0,1,Passive
Accessing,19,5,8,Active
Accumulating,0,1,1,Active
Acquired,0,2,0,Passive
Acquiring,1,1,1,Active
Acting,5,0,0,Active
Activated,2,1,5,Passive
Activating,2,1,1,Active
Adapted,0,0,1,Passive
Adapting,0,1,0,Active
Adding,0,0,3,Active
Addressed,0,1,1,Passive
Addressing,1,0,0,Active
Adjusting,0,3,0,Active
Advertised,0,0,1,Passive
Advertising,0,0,4,Active
Advised,3,0,0,Passive
Advising,3,0,2,Active
Affecting,0,0,4,Active
Agonizing,0,0,3,Active
Aiding,0,0,3,Active
Aiming,3,0,4,Active
Alerted,3,4,0,Passive
Alerting,0,1,24,Active
Alienated,0,2,0,Passive
Alienating,0,1,4,Active
Aligning,0,0,2,Active
Allowing,0,0,2,Active
Altered,2,4,2,Passive
Altering,4,1,7,Active
Amazed,2,1,0,Passive
Ambushing,1,0,0,Active
Analysed,42,24,11,Passive
Analysing,39,3,190,Active
Animated,0,0,1,Passive
Announcing,1,0,0,Active
Annoyed,3,0,0,Passive
Annoying,1,0,0,Active
Anonymised,2,3,0,Passive
Answering,2,0,0,Active
Anthropomorphised,0,0,1,Passive
Anthropomorphising,0,1,0,Active
Anticipating,2,0,3,Active
Appearing,8,2,4,Active
Appreciating,2,0,0,Active
Approaching,0,2,2,Active
Appropriated,0,0,4,Passive
Appropriating,0,4,0,Active
Approved,3,0,0,Passive
Approving,2,0,6,Active
Archiving,0,1,0,Active
Arguing,7,0,0,Active
Aroused,1,1,0,Passive
Arousing,0,0,1,Active
Arrested,4,0,0,Passive
Arresting,0,1,0,Active
Arriving,0,1,0,Active
Asked,1,1,0,Passive
Asking,4,1,0,Active
Assembling,0,4,5,Active
Assesed,1,2,2,Passive
Assessing,17,1,5,Active
Assimilating,0,0,1,Active
Assisted,6,0,1,Passive
Assisting,4,1,14,Active
Attacked,13,2,2,Passive
Attacking,17,3,3,Active
Attempting,2,0,0,Active
Authorizing,2,0,1,Active
Automated,0,2,6,Passive
Automating,0,5,1,Active
Avoided,1,1,1,Passive
Avoiding,8,12,1,Active
Aware,15,1,0,NA
Bartering,0,1,0,Active
Becoming,1,0,0,Active
Befriending,1,0,1,Active
Begging,1,0,0,Active
Benefitting,3,0,0,Active
Betraying,1,0,0,Active
Blamed,1,0,0,Passive
Blaming,2,0,0,Active
Blasted,1,0,0,Passive
Blinded,5,1,6,Passive
Blinding,2,0,1,Active
Blinking,0,3,0,Active
Blocked,2,0,4,Passive
Blocking,2,2,0,Active
Blurred,2,0,0,Passive
Blurring,0,0,2,Active
Bombed,1,0,0,Passive
Bombing,1,0,1,Active
Bonding,2,0,0,Active
Bored,1,0,0,Passive
Bragging,1,0,0,Active
Breaking,3,1,8,Active
Broadcasted,3,0,0,Passive
Broadcasting,2,2,19,Active
Broken,0,0,3,NA
Brokering,0,0,1,Active
Building,1,1,0,Active
Burdening,0,1,0,Active
Buying,3,0,0,Active
Bypassed,0,0,1,Passive
Calculating,1,0,5,Active
Calibrated,1,1,2,Passive
Calibrating,2,0,7,Active
called,1,0,0,Passive
calling,1,0,0,Active
Calming,0,0,2,Active
Camouflaged,2,0,0,Passive
Camouflaging,1,9,3,Active
Canvassing,0,0,3,Active
Captivating,0,1,0,Active
Captured,11,16,1,Passive
Capturing,1,3,71,Active
cared,1,0,0,Passive
Caressing,1,0,0,Active
Caring,5,1,4,Active
Carried,1,0,0,Passive
Carrying,0,0,1,Active
Catching,0,1,0,Active
Categorised,1,3,0,Passive
