SituationID,SituationTitle,Genre,Character,Entity,Technology,Verb
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,Han Solo,NA,NA,Learning
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,C-3PO,NA,NA,Informed
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,NA,NA,Holograms,Mapping
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,Leia Skywalker Organa Solo,NA,NA,Learning
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,Han Solo,NA,NA,Planning
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,C-3PO,NA,NA,Learning
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,Leia Skywalker Organa Solo,NA,NA,Planning
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,Han Solo,NA,NA,Discussing
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,C-3PO,NA,NA,Planning
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,Leia Skywalker Organa Solo,NA,NA,Discussing
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,NA,NA,Holograms,Visualising
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,C-3PO,NA,NA,Discussing
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,Han Solo,NA,NA,Informed
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,NA,NA,Holograms,Informing
3269,Star Wars: Episode VII - The Force Awakens (Holograms for planning),Narrative,Leia Skywalker Organa Solo,NA,NA,Informed
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,Holograms,transmitted
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,Augmented reality,Displaying
3268,Brave New World (optical implant memory holograms),Narrative,NA,Humans in general,NA,Watching
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,Holograms,Revealing
3268,Brave New World (optical implant memory holograms),Narrative,NA,Humans in general,NA,Amazed
3268,Brave New World (optical implant memory holograms),Narrative,John the Savage,NA,NA,Feeling
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,Ocular implant,transmitted
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,Holograms,Displaying
3268,Brave New World (optical implant memory holograms),Narrative,NA,Humans in general,NA,Enjoying
3268,Brave New World (optical implant memory holograms),Narrative,John the Savage,NA,NA,Remembering
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,Ocular implant,Revealing
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,Augmented reality,transmitted
3268,Brave New World (optical implant memory holograms),Narrative,NA,Humans in general,NA,Feeling
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,Ocular implant,Displaying
3268,Brave New World (optical implant memory holograms),Narrative,NA,NA,Augmented reality,Revealing
3268,Brave New World (optical implant memory holograms),Narrative,NA,Humans in general,NA,Experiencing
3267,Brave New World (optical implant overwhelm),Narrative,NA,NA,Augmented reality,Overwhelming
3267,Brave New World (optical implant overwhelm),Narrative,John the Savage,NA,NA,Resisting
3267,Brave New World (optical implant overwhelm),Narrative,NA,NA,Ocular implant,Visualising
