WorkTitle,WorkID,Work_WikidataID,Creator,CreatorID,Creator_WikidataID
CCTV: A Trail of Images,1786,NA,!Mediengruppe Bitnik,207,NA
DELIVERY FOR MR. ASSANGE,208,NA,!Mediengruppe Bitnik,207,NA
Surveillance Chess,1788,NA,!Mediengruppe Bitnik,207,NA
Duke Nukem 3D,1017,Q728061,3D Realms,1015,Q229459
Satellite Reign,2613,Q16267696,5 Lives Studios,2612,Q33198438
Ayo Technology,504,Q783148,50 Cent,499,Q6060
Sword Art Online,96,NA,A-1 Pictures,95,Q277763
Raised by Wolves,1817,Q60747802,Aaron Guzikowski,2408,Q302063
Spycraft,1187,Q7581729,Activision,753,Q200491
Hacker,755,Q1567191,Activision,753,Q200491
Freaks,2714,Q58227961,Adam B. Stein,2711,NA
MegaPixels: Faces,213,NA,Adam Harvey,17,Q96417562
CV Dazzle,31,NA,Adam Harvey,17,Q96417562
HyperFace,1502,NA,Adam Harvey,17,Q96417562
VFRAME – Visual Forensics and Advanced Metadata Extraction,20,NA,Adam Harvey,17,Q96417562
Asymmetric Love,592,NA,Addie Wagenknecht,590,Q23417143
Excellent,1143,NA,AFK,1140,Q51281415
Assembly Line,2940,NA,Agnieszka Kurant,2939,Q19267078
"I Created an AI to Make Procedurally Generated Movies, But They're Horrifying",226,NA,airshrimp777,225,NA
Alone,332,Q27949628,Alan Walker,331,Q21808729
Brave New World (2020 TV series),1484,Q65037315,Aldous Huxley,1476,NA
Technotise: Edit & I,2297,Q225964,Aleksa Gajic,2290,Q782458
Face-to-facebook,1562,NA,Alessandro Ludovico,1561,NA
Sleep Dealer,2071,Q204190,Alex Rivera,2070,Q4717691
Better Than Us,611,Q55388754,Alexandr Kessel,610,NA
The Last One,1898,NA,Alexandra Olivia,1924,NA
Gravity,2307,Q2579784,Alfonso Cuarón,2306,Q28028
NITE Team 4,910,NA,Alice & Smith,909,Q104869991
The Shell,992,NA,Amir Bastan,989,NA
What the Robot Saw,1545,NA,Amy Alexander,1544,Q4749066
Expanded Eye,1662,NA,Anaisa Franco,1661,NA
RGB Stratospheric Camarena,1854,NA,Andrés Burbano,1853,NA
Totally Normal,112,NA,Andrew Benson,111,Q4756330
Anon,831,Q27957904,Andrew Niccol,830,Q360737
LoveStar: A Novel,1775,Q16420972,Andri Snær Magnason,1770,Q463575
Ancillary Justice,249,Q17001721,Ann Leckie,248,Q16204354
Square Eyes,585,NA,Anna Mill,583,NA
Fall of the House of Usher,116,NA,Anna Ridler,115,Q94415599
Mosaic Virus and Myriad (Tulips),187,NA,Anna Ridler,115,Q94415599
Drones Don't Kill People,157,Q101097242,Annalee Newitz,148,Q4767817
Autonomous,153,Q69527499,Annalee Newitz,148,Q4767817
Beforeigners,608,Q66438471,Anne Bjørnstad,605,Q19310220
The Webcam Project,19,NA,Anonymous,18,NA
Satellite Images,218,NA,Anonymous,18,NA
Coronavirus Drone Video,1022,NA,Anonymous,18,NA
Avengers: Endgame,2101,Q23781155,Anthony & Joseph Russo,2073,NA
Avengers: Infinity War,2077,Q23780914,Anthony & Joseph Russo,2073,NA
HoloDecon,1709,NA,Arcangel Constantini,1708,Q19560575
A Memory Called Empire,1950,Q82566838,Arkady Martine,1899,Q58640138
Trætte Mænd,164,Q12007794,Arne Garborg,163,Q467497
Neural Network Training,1584,NA,Ars Electronica Futurelab (AT),1583,NA
Glow,1582,NA,Ars Electronica Futurelab (AT),1583,NA
2001: A Space Odyssey (novel and film),2277,Q103474,Arthur Charles Clarke,2276,NA
True Beauty,389,Q4918623,Ashton Kutcher,386,Q164782
Geocinema,900,NA,Asia Bazdyrieva,897,NA
Osmosis,2232,NA,Audrey Fouché,2226,Q2870844
Finis Terra,1600,NA,Audrey Samson,1599,NA
The Argus Project,3171,NA,Ayodamola Tanimowo Okunseinde,3167,NA
HOW TO EDIT YOUR SELFIES,3175,NA,b wijshijer,3174,NA
(e)motion,1559,NA,Barbara Nordhjem,1558,NA
A Closed and Common Orbit,1642,Q43625060,Becky Chambers,1641,Q25298820
(In)Security Camera,2120,NA,Ben Chang,2118,NA
Superintelligence,2587,Q55696425,Ben Falcone,2586,Q2082056
Asunder,1185,NA,Bengt Sjölén,1184,NA
Jller,184,NA,Benjamin Maus,182,Q83808309
And Shall Machines Surrender,2665,NA,Benjanun Sriduangkaew,2625,Q17465706
Outra 33 Bienal de São Paulo,1682,NA,Bernardo Fontes,1681,NA
Belief Systems,65,NA,Bernhard Hopfengärnter,64,NA
Mass Effect: Andromeda,1178,Q20113552,BioWare,3050,Q219758
... som duften av en drøm...,1982,NA,Bjarne Benjaminsen,2048,Q88536422
Interface,69,NA,Bjørn Erik Haugen,68,NA
Død og oppstandelse,1839,NA,Bjørn Vatne,1236,Q54197034
Starcraft II: Wings of Liberty,2841,Q239288,Blizzard Entertainment,2840,Q178824
Heroes of the Storm,2849,Q15139655,Blizzard Entertainment,2840,Q178824
>observer_,881,Q25340021,Bloober Team,890,Q389526
Lost Faith,341,NA,Bob Mould,338,Q888152
Spider-Man: Into the Spider-Verse,1970,Q29588607,Bob Persichetti,2195,Q60784779
Incredibles 2,1892,Q24832112,Brad Bird,1891,NA
Outra 33 Bienal de São Paulo,1682,NA,Bruno Moreschi,1678,NA
Recoding Art,1700,NA,Bruno Moreschi,1678,NA
Invisíveis,1706,NA,Bruno Vianna,1705,Q8252886
X-Men: Days of Future Past,2062,Q4985891,Bryan Singer,2061,Q220751
Halo: Combat Evolved,1039,Q276217,Bungie Studios,1038,NA
B.I.T. Plane,118,NA,Bureau of Inverse Technology (BIT),117,NA
République,42,Q7386146,Camouflaj,41,Q98411159
Security Cameras,473,NA,Casino,471,NA
Cyberpunk 2077,2469,Q3182559,CD Projekt RED,2470,Q1172164
Spaces of Failure,1702,NA,Cesar Baio,1701,NA
Neo Cab,1740,Q97275045,Chance Agency,1739,NA
Black Mirror,553,Q558112,Charlie Brooker,196,Q2960837
Probably Chelsea,1227,NA,Chelsea E. Manning,1220,NA
The Flower of Shazui,615,NA,Chen Qiufan,614,Q8941041
You•Who? Customised Cinema Installation,510,NA,Chris Hales,506,NA
Big Hero 6,1846,Q13091172,Chris Williams,1842,NA
Neuro Mirror,3067,NA,Christa Sommerer,3065,Q54564966
Cheese,8,NA,Christian Moeller,7,Q5109933
The Old Lie,2707,Q108101049,Claire G. Coleman,2706,Q56754653
Postcards from Google Earth,63,NA,Clement Valla,62,NA
Whispers of a Machine,916,Q63315199,Clifftop Games,915,NA
U,206,NA,Coburn Tyler,205,NA
DullDream,1218,NA,Constant Dullaart,1216,Q19665830
Little Brother,173,NA,Cory Doctorow,172,Q110436
Attack Surface,3125,NA,Cory Doctorow,172,Q110436
Shutter (game),2944,NA,Cosmic Logic,2943,NA
ZARI,2684,NA,Courtney Marsh,2683,Q22075552
Sustaining Gazes,1557,NA,Cristina Cochior,1689,NA
The Talos Principle,2835,Q18620506,Croteam,2834,Q2340010
Bill Hader channels Tom Cruise,609,NA,Ctrl Shift Face,569,NA
State of Mind,1035,Q56299003,Daedalic Entertainment,1034,Q1157042
Dissonant Imagery,90,NA,Daito Manabe,87,Q21008480
October Faction,1090,Q86665990,Damian Kindler,1087,Q374850
